Parent Set ID,Minifig ID,Name,Qty In Set,Unit Market Price,Total Value
75192,sw0879,,1,NEW,74.92,74.92
75192,sw0879,,1,USED,64.13,64.13
75192,sw0841,,1,NEW,44.95,44.95
75192,sw0841,,1,USED,32.23,32.23
75192,sw0878,,1,NEW,70.52,70.52
75192,sw0878,,1,USED,58.57,58.57
75192,sw0677,,1,NEW,14.49,14.49
75192,sw0677,,1,USED,9.32,9.32
76255,sh0877,,1,NEW,69.39,69.39
76255,sh0877,,1,USED,60.75,60.75
76255,sh0879,,1,NEW,18.44,18.44
76255,sh0879,,1,USED,18.12,18.12
76255,sh0878,,1,NEW,16.40,16.40
76255,sh0878,,1,USED,15.75,15.75
76255,sh0876,,1,NEW,18.90,18.90
76255,sh0876,,1,USED,16.18,16.18
76255,sh0873,,1,NEW,8.96,8.96
76255,sh0873,,1,USED,7.11,7.11
75192,sw0661,,1,NEW,12.38,12.38
75192,sw0661,,1,USED,7.94,7.94
75192,sw0700,,1,NEW,15.51,15.51
75192,sw0700,,1,USED,10.68,10.68
75192,sw0532,,1,NEW,12.73,12.73
75192,sw0532,,1,USED,9.52,9.52
75192,sw0676,,1,NEW,11.22,11.22
75192,sw0676,,1,USED,7.50,7.50
75192,sw0841,,1,NEW,44.95,44.95
75192,sw0841,,1,USED,32.24,32.24
75192,sw0878,,1,NEW,70.52,70.52
75192,sw0878,,1,USED,58.57,58.57
75192,sw0677,,1,NEW,14.49,14.49
75192,sw0677,,1,USED,9.32,9.32
75192,sw0661,,1,NEW,12.38,12.38
75192,sw0661,,1,USED,7.94,7.94
75192,sw0700,,1,NEW,15.51,15.51
75192,sw0700,,1,USED,10.68,10.68
75192,sw0532,,1,NEW,12.73,12.73
75192,sw0532,,1,USED,9.52,9.52
75192,sw0676,,1,NEW,11.22,11.22
75192,sw0676,,1,USED,7.50,7.50
75192,sw0879,,1,NEW,74.92,74.92
75192,sw0879,,1,USED,64.13,64.13
75192,sw0841,,1,NEW,44.95,44.95
75192,sw0841,,1,USED,32.24,32.24
75192,sw0878,,1,NEW,70.52,70.52
75192,sw0878,,1,USED,58.57,58.57
75192,sw0677,,1,NEW,14.49,14.49
75192,sw0677,,1,USED,9.32,9.32
76255,sh0877,,1,NEW,69.39,69.39
76255,sh0877,,1,USED,60.75,60.75
76255,sh0879,,1,NEW,18.44,18.44
76255,sh0879,,1,USED,18.12,18.12
76255,sh0878,,1,NEW,16.40,16.40
76255,sh0878,,1,USED,15.75,15.75
76255,sh0876,,1,NEW,18.90,18.90
76255,sh0876,,1,USED,16.18,16.18
76255,sh0873,,1,NEW,8.96,8.96
76255,sh0873,,1,USED,7.11,7.11
76255,sh0877,,1,NEW,69.39,69.39
76255,sh0877,,1,USED,60.75,60.75
76255,sh0879,,1,NEW,18.44,18.44
76255,sh0879,,1,USED,18.12,18.12
76255,sh0878,,1,NEW,16.40,16.40
